,phigh_day_touch,plow_day_touch,phigh_night_touch,plow_night_touch,ret_distance_phigh_day_open,ret_distance_plow_day_open,ret_distance_phigh_night_open,ret_distance_plow_night_open
2017-11-19,1,0,1,0,-0.007083762886597971,0.013550345829134796,-0.014700786062386274,0.007150018365220823
2017-11-20,0,0,1,0,0.0016693031644128694,0.05671558441558442,-0.002872496216368523,0.025031462545398633
2017-11-21,1,1,1,0,-0.004913148371531914,0.015222297977498285,-0.008500010216358355,0.057463145750544856
2017-11-22,0,0,0,0,-0.01904761904761905,0.021065675340768277,-0.00993430000913171,0.02106187957169927
2017-11-23,0,1,0,0,-0.014544847015182794,0.00392575234336457,-0.014548426150121075,0.013549976902033457
2017-11-24,1,1,0,0,-0.0074658536585366165,0.0047876543209876225,-0.027508662922690913,0.03678726114649678
2017-11-25,0,0,1,0,0.030180606060606033,0.05198539423195937,-0.004785792741333089,0.05055500618046969
2017-11-26,0,0,1,0,0.03660512727517891,0.05407913229416989,-0.006836026684783125,0.045430246189917985
2017-11-27,0,0,0,0,0.016577540106951873,0.06606220958076447,-0.015462572040587246,0.05604305500312203
2017-11-28,0,0,0,0,0.02323550128164031,0.05440614173581849,-0.007548043062682406,0.032445049194054804
2017-11-29,1,1,1,1,0.09834861460957185,0.12871298405466977,-0.002459738707667119,0.10828577848131513
2017-11-30,0,0,0,1,-0.13821467730616643,0.14298122065727709,-0.10658715596330269,0.06883869077083665
2017-12-01,0,0,1,0,0.029556013798842568,0.14343788132146257,-0.01744271844660193,0.08354469953522627
2017-12-02,1,0,0,0,0.02696264714060614,0.09481607813183955,-0.009839142091152848,0.04923196095458238
2017-12-03,0,0,1,0,0.04788904788904792,0.09634651600753302,-0.015012698106535433,0.07817390499120296
2017-12-04,0,1,0,0,-0.05805919661733609,-0.005495535714285649,-0.03978879310344821,0.06080476190476197
2017-12-05,0,0,1,0,0.02647193022710045,0.08922051471949641,-0.002732666553653143,0.040728648750012225
2017-12-06,0,0,1,0,0.07525605331983466,0.10241319746285142,-0.013544117647058807,0.09286657520150919
2017-12-07,0,0,1,0,0.10267862595419848,0.1820859247135843,-0.023188395996754114,0.11977441860465117
2017-12-08,1,0,0,0,-0.07273707301786277,0.02810697969842982,-0.1401052834090576,0.05561755262219048
2017-12-09,0,1,0,1,-0.08113977515023504,0.017508924451783703,-0.09860903665185346,0.032528339083292265
2017-12-10,1,0,1,0,-0.0847,0.09529317909852414,-0.0731452102882603,0.11008247089262613
